Feature,Importance
avg_word_length,0.1461600405912329
keyword,0.1402324823318442
text_length,0.11946950103147841
char_count,0.11556589175647806
stopword_ratio,0.10794011780486198
word_count,0.07005223921641891
urgency_score,0.0682221372998953
emergency_density,0.05850757066265834
emergency_word_count,0.03220899391276325
url_count,0.026191686951506928
has_emergency_word,0.02352426872246524
keyword_in_text,0.022212312840375444
has_url,0.01790306083971158
mention_count,0.01701375976622586
exclamation_count,0.013704094391453736
has_mention,0.012499321594952928
intense_punctuation,0.008592520285677006
