feature,importance
has_url,0.3100615958151732
emergency_density,0.21397585258037014
has_emergency_word,0.12504940665087802
keyword,0.1206150280345115
exclamation_count,0.06498759858497623
stopword_ratio,0.06053876376951679
emergency_word_count,0.03166448473228098
word_count,0.024828973011801692
intense_punctuation,0.01917673739504795
urgency_score,0.017158733438930023
keyword_in_text,0.004921846688221297
char_count,0.00397881656892179
avg_word_length,0.003042162729370499
mention_count,0.0
has_mention,0.0
text_length,0.0
url_count,0.0
