Feature,Coefficient,Abs_Coefficient
word_count,-0.666919711152563,0.666919711152563
text_length,0.6280052591390449,0.6280052591390449
emergency_word_count,0.5403645962093511,0.5403645962093511
has_url,0.4347936812629162,0.4347936812629162
url_count,-0.3569017993659669,0.3569017993659669
char_count,0.33176049240549654,0.33176049240549654
urgency_score,-0.22747736115913098,0.22747736115913098
mention_count,-0.19742324806356126,0.19742324806356126
stopword_ratio,-0.1472029688406616,0.1472029688406616
keyword_in_text,-0.12426765739726624,0.12426765739726624
keyword,0.11039591536572761,0.11039591536572761
has_emergency_word,0.08039732580550048,0.08039732580550048
exclamation_count,-0.07505859213399381,0.07505859213399381
has_mention,0.05993982840332839,0.05993982840332839
avg_word_length,0.057122316675657224,0.057122316675657224
intense_punctuation,0.011285203836540358,0.011285203836540358
emergency_density,0.0023458146649861845,0.0023458146649861845
